Date,Weddings
1970,2158600.00
1971,2191323.00
1972,2282700.00
1973,2282500.00
1974,2229300.00
1975,2158600.00
1976,2154900.00
1977,2178100.00
1978,2282500.00
1979,2331700.00
1980,2390000.00
1981,2415100.00
1982,2450500.00
1983,2445900.00
1984,2471300.00
1985,2412600.00
1986,2417400.00
1987,2417600.00
1988,2409900.00
1989,2414500.00
1990,2443078.00
1991,2398622.00
1992,2360121.00
1993,2320933.00
1994,2362560.00
1995,2346529.00
1996,2334950.00
1997,2410475.00
1998,2270023.00
1999,2357105.00
2000,2339079.00
2001,2326715.00
2002,2289999.00
2003,2249416.00
2004,2274142.00
2005,2249745.00
2006,2217396.00
2007,2197066.00
2008,2160858.00
2009,2084828.00
2010,2096932.00
2011,2119494.00
2012,2134311.00
2013,2146169.00
2014,2205269.00
2015,2220389.00
2016,2250631.00
2017,2227024.00
2018,2130061.00
2019,2126126.00
2020,1267877.00
2021,1934982.00
2022,2469186.00
2023,2240458.00
2024,2171902.00
2025,2135012.00
